player_name,position,height,weight,birth_year,from_school,from_country,to_school,year,recruiting_composite,class_year,notes,origin_country,origin_league
Sidy Cissoko,G,6-6,195,2004,Valencia Basket,Spain,Texas Tech,2023,96.50,FR,G League Ignite then Valencia then NCAA,Spain,Liga ACB Spain
Oumar Ballo,C,7-0,250,2001,Olimpia Milano,Italy,Arizona,2022,89.20,FR,Mali national team via Italian league,Italy,Lega Basket Italy
Killian Tillie,F,6-10,205,1999,Dijon,France,Gonzaga,2022,,Grad,French Pro A,France,Pro A France
Ibou Badji,C,7-0,220,2003,Elan Chalon,France,Utah State,2023,87.30,FR,Senegalese center from French Pro B,France,Pro B France
Mamadi Diakite,F,6-9,215,1997,Pau-Lacq,France,Virginia,2022,,Grad,Returned from pro contract,France,Pro B France
Aday Mara,C,7-3,235,2005,Real Madrid,Spain,NC State,2024,97.80,FR,EuroLeague academy,Spain,EuroLeague Academy
Yves Missi,C,7-0,225,2004,Cholet,France,Gonzaga,2024,95.50,FR,French Pro B,France,Pro B France
Vlad Goldin,C,7-0,250,2001,UNICS Kazan,Russia,TCU,2022,85.30,FR,Russian League,Russia,VTB United League
Yohan Traore,F,6-9,220,2004,Cholet,France,Auburn,2023,93.40,FR,French Pro B,France,Pro B France
Ariel Hukporti,C,7-0,230,2001,Fraport Skyliners,Germany,Georgia Tech,2022,82.60,FR,German BBL,Germany,BBL Germany
Nana Foulland,F,6-9,235,2002,Maccabi Rishon,Israel,Connecticut,2023,80.20,FR,Israeli Premier League,Israel,Premier League Israel
Hugo Gonzalez,G,6-5,195,2003,Real Madrid B,Spain,TCU,2023,88.50,FR,Real Madrid academy,Spain,Liga ACB Academy
Ilias Kasparas,F,6-7,210,2003,Rytas Vilnius,Lithuania,Cincinnati,2024,86.20,FR,Baltic League,Lithuania,LKL Lithuania
Gytis Nemeiksa,F,6-10,215,2003,Zalgiris,Lithuania,Georgetown,2023,84.70,FR,Lithuanian BBL,Lithuania,LKL Lithuania
Mohamed Diarra,C,6-11,230,2003,JDA Dijon,France,Louisville,2024,89.60,FR,French Pro B,France,Pro B France
Marco Reus,G,6-3,180,2004,Morabanc Andorra,Andorra,Arkansas,2024,91.10,FR,Andorran league,Andorra,Lliga Catalana
Aboubacar Traore,C,6-11,225,2003,ASVEL Villeurbanne,France,Arizona State,2023,85.00,FR,French Pro A academy,France,Pro A France
Ben Meyinsse,F,6-8,210,2003,Hyeres Toulon,France,UCF,2023,83.40,FR,French Pro B,France,Pro B France
Ange Minvielle,G,6-4,185,2004,JSF Nanterre,France,Indiana,2024,84.80,FR,French Pro A,France,Pro A France
Nikola Djogo,F,6-8,215,2003,Mega Basket,Serbia,Virginia Tech,2024,82.10,FR,Serbian Superliga academy,Serbia,Serbian Superliga
